Rule,URL,Section Name,Page Name,Page Views
EndsWith,stevens.edu/sit/about/awards.cfm,About,Awards,2569
EndsWith,stevens.edu/sit/about/campus.cfm,About,Campus,1328
EndsWith,stevens.edu/sit/about/contact.cfm,About,Contact,39115
EndsWith,stevens.edu/sit/about/facts.cfm,About,Facts,18897
EndsWith,stevens.edu/sit/about/col_john.cfm,About,History,583
EndsWith,stevens.edu/sit/about/history.cfm,About,History,2905
EndsWith,stevens.edu/sit/about/robert_stevens.cfm,About,History,343
EndsWith,stevens.edu/sit/about/steamboats.cfm,About,History,700
EndsWith,stevens.edu/sit/about/yachting.cfm,About,History,372
EndsWith,stevens.edu/sit/about/hoboken.cfm,About,Hoboken,335
EndsWith,stevens.edu/sit/about/index.cfm,About,Home,44845
Contains,stevens.edu/sit/about/mission.cfm,About,Mission,2532
EndsWith,stevens.edu/sit/about/railroad.cfm,About,Railroad,299
EndsWith,stevens.edu/sit/about/sit.cfm,About,Stevens,554
EndsWith,stevens.edu/sit/about/trustees.cfm,About,Trustees,248
EndsWith,stevens.edu/sit/about/visit.cfm,About,Visit,729
EndsWith,stevens.edu/sit/academics/,Acad,Home,34042
EndsWith,stevens.edu/sit/academics/index.cfm,Acad,Home,63326
EndsWith,stevens.edu/sit/administration-and-enrollment/admissions.cfm,Administration,Admissions,306
EndsWith,stevens.edu/sit/administration-and-enrollment/athletics.cfm,Administration,Athletics,467
EndsWith,stevens.edu/sit/administration-and-enrollment/campus-store.cfm,Administration,Campus Store,978
EndsWith,stevens.edu/sit/administration-and-enrollment/financial-affairs.cfm,Administration,Financial,204
EndsWith,stevens.edu/sit/administration-and-enrollment/graduate-student-affairs.cfm,Administration,Graduates,313
EndsWith,stevens.edu/sit/administration-and-enrollment/index.cfm,Administration,Home,2087
EndsWith,stevens.edu/sit/administration-and-enrollment/human-resources.cfm,Administration,Human Resources,131
EndsWith,stevens.edu/sit/administration-and-enrollment/marketing-communications.cfm,Administration,Marketing,226
EndsWith,stevens.edu/sit/administration-and-enrollment/office-of-residence-life.cfm,Administration,Residence Life,233
